,Open,High,Low,Close,Adj Close,Volume
4576,1.328638483510638,1.300431509502947,1.2775558783598253,1.2536937220169309,1.1715625547032722,-0.4939734458603306
4577,1.2778307165915386,1.2460718632323131,1.2316304947682606,1.2008112441001957,1.125298486800986,-0.4622656700882406
4578,1.2174804950619516,1.2233047771141765,1.250364965502414,1.2289291002200793,1.1498963742438304,-0.4994466138713577
4579,1.2212202671931438,1.2341767831113335,1.2501045176907952,1.2416985360866621,1.161068086136448,-0.1901543960567211
4580,1.2338574677390766,1.204119019606894,1.1738659178697188,1.1763048431956769,1.1038592664435216,-0.47088299844602793
4581,1.1861448594071275,1.1675383671505837,1.2053503751546681,1.1848176585604544,1.111306434765081,-0.6226178477730127
4582,1.1825341698872798,1.1912004816469401,1.1847943049228455,1.1675341938829604,1.096186668059905,-0.40588704884395255
4583,1.1233444796954046,1.1186785357079971,1.0790226874243822,1.048226339033527,0.9918114833161669,-0.1277868979614612
4584,1.0615755745007829,1.0313193609438276,0.9846999623013523,0.9535538020625814,0.9089882402315778,-0.2700393589410738
4585,1.0231472426612676,1.0488423016384592,1.030495323642589,1.077634100087457,1.0175384273485406,-0.2445866323244433
4586,1.090719023765672,1.0705861217751975,0.9935468874965885,0.9793500950029995,0.9315553633779758,-0.378621023403
4587,0.9990329731507747,0.9960174520158827,0.9774143709326009,1.0065651840551404,0.9553642518742765,-0.4320717492979241
4588,1.024952580973509,1.018400835774379,1.02893418496657,1.0386816461548398,0.9834612653674328,-0.3632495728188389
4589,1.0310134286754924,1.0135405717775843,0.9696084693920091,0.9805110700649295,0.9325709336458614,-0.3040262350703392
4590,0.9968407867608406,0.9916687186857469,0.997319705431292,1.022172031571119,0.9690177763071162,-0.46068527203034526
4591,0.9594443034040332,1.0214706209280693,0.9792357752798044,1.0484841600833197,0.9920365245975882,-0.3999647150691026
4592,1.0727944782426544,1.0826092220607713,1.094894938317185,1.0896292860177261,1.0280319427757423,-0.5544111947480551
4593,1.033850422039955,1.048586427585837,1.007467516641394,1.0143041493261447,0.9621351425509764,-0.27208555853182254
4594,1.033850422039955,1.0762139695583437,1.0398625590096655,1.042938047388155,0.9871848432575571,-0.33283938703112614
4595,1.1174123277437922,1.1067834683775224,1.1280705565284819,1.0994319934184027,1.036607778906196,-0.3565952652066479
4596,1.0481642780431248,1.042063346776391,1.047928713211411,1.052611657240812,0.9956479706276378,-0.32197622985422436
4597,1.0956191338040908,1.1175274414195804,1.1171421824853862,1.138384253878823,1.0706847653089526,-0.36571166663534954
4598,1.1687360253519283,1.1401664945826189,1.1097263607058099,1.0910480821294488,1.02927333188632,-0.37118483464637664
4599,1.106709354690957,1.1166320165357058,1.1373077696452307,1.1163285394980837,1.0513892186692804,-0.3327229366479128
4600,1.1643516525720605,1.1369688683314052,1.0811043314227078,1.0615114169996958,1.0034336665522627,0.8113188995780208
4601,1.0779525471779081,1.0700743864604585,1.0799334806682013,1.0662836667029407,1.0076084933471363,-0.1218811999556417
4602,1.0663467953583436,1.0590747440138581,1.0874793246981058,1.068476325806583,1.0095267370028715,-0.21084929273063505
4603,1.0676364093074004,1.0529351609159725,1.0699157047184586,1.0399715381907393,0.9845897450566643,-0.38708862983951303
4604,1.0361716910412326,1.0154590707852824,1.0010927185164618,0.9717402272800154,0.9248985359232179,-0.24646647422488724
4605,0.9995488909444457,0.9694131760247742,0.9210809104597502,0.9178260653215671,0.8777317946330818,-0.09188690839369087
4606,0.9140525514216573,0.8838448638188591,0.8881655579196376,0.8757779917453675,0.8409468006080861,-0.035940817144195246
4607,0.8763981091680147,0.87361242144346,0.8946705734453638,0.8868703977097474,0.8506505520687841,-0.39365975860655167
4608,0.8858116745976452,0.8770657170992159,0.9078108218976101,0.883130025520412,0.8473783986617605,-0.519143364403443
4609,0.8983201922885736,0.8916470718718208,0.897402758026355,0.8641697373110583,0.8307914365446251,-0.41039534225121194
4610,0.8537021493569493,0.825519994720155,0.841980103807354,0.8427587625779253,0.8120604119290618,-0.33066010128813356
4611,0.8419675083565274,0.8256480276752536,0.8349545699492903,0.8089656833167101,0.7824973568245424,-0.25727972409469757
4612,0.788451624358457,0.7756371019442506,0.7566341309794226,0.8007108824739225,0.7752750416647416,-0.12411039300572568
4613,0.7866462860462158,0.8113225213742612,0.8201231475606657,0.8204450207770495,0.7925396358883058,-0.438376705760475
4614,0.8342302115231599,0.8289734822334859,0.859153240715023,0.8495947673089896,0.8180407736192977,-0.5453280648574145
4615,0.8631158953217005,0.860821916438605,0.8685204760820997,0.8470151767093873,0.8157841904801597,-0.331125902820987
4616,0.8597629841635671,0.8786007056048486,0.8847830148964152,0.9080233579208901,0.8691567109812776,-0.46970185884486404
4617,0.9130209092648021,0.9217046435186849,0.9226422572962657,0.9300792657738262,0.8884514926009899,-0.44225283994457626
4618,0.930171758632434,0.9151815627092388,0.9428078444561101,0.9233721780167317,0.8825840403321001,-0.6184089982083019
4619,0.9322350687368767,0.9275883653544534,0.9660957089679927,0.9361414204111173,0.8937549872047572,-0.5537956712939275
4620,0.9244977719035091,0.9029025883710431,0.9292772950723202,0.9058306988172475,0.86723827920588,-0.514335627153635
4621,0.9021888407052574,0.8759146100202941,0.9282364665681422,0.8980919270184401,0.8604681535491403,-0.5476903440597423
4622,0.8912277024297346,0.8835889897662369,0.9046883493951063,0.8741013616857051,0.8394799814354514,-0.464927393133117
4623,0.8613105570094595,0.8362641596197884,0.8798391380467079,0.8470151767093873,0.8157841904801597,-0.4256170709140988
4624,0.8742059227780807,0.8532755568572556,0.8856938081402342,0.8560438405440941,0.8236825951651575,-0.5499361728788568
4625,0.8690476604123402,0.8613334471052642,0.8942802855238512,0.8599133231795962,0.8270678461131896,-0.450154830234053
4626,0.8455781978763757,0.8251362923605143,0.8474442908289022,0.8574626495539637,0.8249235954950996,-0.3565786294376174
4627,0.8419675083565274,0.8161829772286309,0.8379468250510002,0.8354069222750781,0.8056284376360628,-0.49054647744005225
4628,0.8213348457545386,0.8027529086020181,0.8461432096635705,0.821347800742939,0.7933291991938362,-0.5442966471775249
4629,0.7764590244611995,0.7560676420773274,0.7256703871772765,0.7184206435032569,0.7032849828697045,0.011005323059812094
4630,0.7431889549874249,0.7202541896922182,0.7420629612519513,0.7458937599755342,0.7364631209844119,-0.3175511152921174
